Total Population,Median Gross Rent,Median Household Income,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,"Total Year-Round Beds (ES, TH, SH)",Average Temperature,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,Overall_Homeless_Per_Capita,Overall_Homeless_Individuals_Per_Capita,Overall_Homeless_People_in_Families_Per_Capita,Unsheltered_Homeless_Per_Capita,Sheltered_Homeless_Per_Capita
257633,56401,3728285,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,,5.5,974,696,278,132,842,0.003780572,0.002701517,0.001079054,0.000512357,0.003268215
257633,56401,3728285,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,,0.4,1023,695,328,102,921,0.003970765,0.002697636,0.001273129,0.000395912,0.003574853
257633,56401,3728285,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,,-0.2,1267,821,446,157,1110,0.004917848,0.003186704,0.001731145,0.000609394,0.004308454
257633,56401,3728285,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,,1.5,1231,740,491,118,1113,0.004778115,0.002872303,0.001905812,0.000458016,0.004320099
250934,54926,3573107,8.504626715,7.073878313,42.29354659,42.84594772,7.593841008,,7,1223,794,429,141,1082,0.004873792,0.003164179,0.001709613,0.000561901,0.004311891
260904,57447,3752045,8.02785699,6.954797237,41.195061,44.03211418,7.478924743,,-12.8,1147,791,356,50,1097,0.004396253,0.003031766,0.001364487,0.000191641,0.004204612
275420,62502,4026484,8.150461114,7.375905127,41.13714742,43.52197856,7.553461254,,9.8,1122,844,278,52,1070,0.004073778,0.003064411,0.001009368,0.000188803,0.003884976
263206,59532,3931531,8.837944424,7.921202996,39.72180585,43.34872674,7.143623369,988,18.4,1023,736,287,53,970,0.00388669,0.002796289,0.001090401,0.000201363,0.003685326
294038,69646,4276757,8.086369789,7.885971787,40.56539016,45.25954526,6.718333344,1019,7.1,1208,837,371,179,1029,0.004108313,0.002846571,0.001261742,0.000608765,0.003499548
289982,72098,4293890,8.044292404,8.396699272,40.7570042,45.70609077,6.087872481,1007,17.2,1105,905,200,240,865,0.003810581,0.003120883,0.000689698,0.000827638,0.002982944
289010,73387,4437615,8.016331615,8.576838624,40.89808539,44.80979553,5.806138975,1023,4.5,1128,848,280,155,973,0.003902979,0.002934155,0.000968825,0.000536314,0.003366666
287529,75827,4527440,9.103777358,8.657760196,40.04408097,45.93230977,5.663429374,1028,6.7,1094,814,280,94,1000,0.003804834,0.002831019,0.000973815,0.000326924,0.00347791
291457,80010,4825221,8.850362146,8.560813386,38.51188165,44.10506124,5.7331679,1033,7.5,1111,799,312,97,1014,0.003811883,0.002741399,0.001070484,0.000332811,0.003479072
281237,83378,4956323,8.761293855,9.225160817,38.39907984,43.96608621,5.361122212,920,-6.4,1058,816,242,55,1003,0.003761952,0.002901467,0.000860484,0.000195565,0.003566387
265142,81497,4951157,9.435698607,9.748154784,38.93426521,44.60672367,5.647398844,1274,10.6,1319,1057,262,152,1167,0.004974693,0.003986543,0.00098815,0.000573278,0.004401415
276429,88940,5540345,9.754765238,10.3288242,37.44927366,45.01505039,5.191982782,2019,2.6,1494,1176,318,125,1369,0.005404643,0.004254257,0.001150386,0.000452196,0.004952447
276429,88940,5540345,9.754765238,10.3288242,37.44927366,45.01505039,5.191982782,1188,10.9,1760,1460,300,335,1425,0.006366915,0.005281646,0.00108527,0.001211884,0.005155031
395270,96329,6393857,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,,5.5,668,366,302,123,545,0.001689984,0.000925949,0.000764035,0.00031118,0.001378804
395270,96329,6393857,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,,0.4,623,372,251,92,531,0.001576138,0.000941129,0.000635009,0.000232752,0.001343386
395270,96329,6393857,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,,-0.2,725,418,307,170,555,0.001834189,0.001057505,0.000776684,0.000430086,0.001404104
395270,96329,6393857,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,,1.5,632,378,254,74,558,0.001598907,0.000956308,0.000642599,0.000187214,0.001411693
399281,98921,6600131,10.10065593,21.94685272,33.61878415,36.4553612,9.142424464,,7,905,492,413,227,678,0.002266574,0.001232215,0.001034359,0.000568522,0.001698052
401940,106925,6836976,10.40901627,23.38596745,33.62886396,37.78425656,9.181873702,,-12.8,766,507,259,147,619,0.001905757,0.001261382,0.000644375,0.000365726,0.001540031
398412,105823,6756920,10.72106262,24.37778197,33.26935974,37.08477193,9.716490308,,9.8,824,518,306,153,671,0.002068211,0.001300162,0.000768049,0.000384025,0.001684186
409781,108608,6953054,10.76282209,24.48028997,33.31321835,37.87597944,9.372676137,826,18.4,761,473,288,92,669,0.00185709,0.001154275,0.000702814,0.00022451,0.001632579
429390,111226,7051903,11.30487436,24.09831867,34.22273942,39.50624736,9.382884704,841,7.1,748,505,243,138,610,0.001742006,0.001176087,0.000565919,0.000321386,0.00142062
433638,113548,7201988,11.29513557,25.2002579,33.86407205,38.68130078,9.302432456,819,17.2,835,622,213,202,633,0.001925569,0.001434376,0.000491193,0.000465826,0.001459743
436582,116451,7373568,11.38251233,25.87698185,33.70019961,39.13140493,9.230670475,805,4.5,717,506,211,139,578,0.001642303,0.001159003,0.0004833,0.000318382,0.001323921
437384,117769,7414750,11.69109981,25.82024158,33.78497549,38.51803889,8.816790183,912,6.7,922,620,302,215,707,0.002107987,0.001417519,0.000690469,0.000491559,0.001616429
436528,114619,7298422,11.61826962,25.51952173,33.38441662,37.96702279,8.351175719,845,7.5,796,585,211,176,620,0.00182348,0.00134012,0.00048336,0.000403181,0.001420298
437194,121364,7736011,11.122751,24.75772283,33.21388593,37.6050636,8.725650515,965,-6.4,891,629,262,169,722,0.002037997,0.001438721,0.000599276,0.000386556,0.001651441
435476,124532,7963308,11.09337828,24.20528151,32.18248751,39.64376175,8.122204217,996,10.6,630,390,240,0,630,0.001446693,0.000895572,0.000551121,0,0.001446693
431376,132511,8527575,10.87682208,22.93940713,32.16127398,38.11187399,7.361758827,1069,2.6,826,584,242,232,594,0.001914803,0.001353807,0.000560996,0.000537814,0.001376989
431376,132511,8527575,10.87682208,22.93940713,32.16127398,38.11187399,7.361758827,1120,10.9,854,595,259,133,721,0.001979711,0.001379307,0.000600404,0.000308316,0.001671396
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,46.7,2104,1529,575,864,1240,0.002403355,0.001746544,0.00065681,0.000986929,0.001416426
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,43,2104,1529,575,864,1240,0.002403355,0.001746544,0.00065681,0.000986929,0.001416426
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,45.3,2273,1645,628,1204,1069,0.0025964,0.001879049,0.000717351,0.001375304,0.001221096
