CoC_Number,Year,weighted median income,weighted median rent,total population,tract count,CoC Name,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,Average Temperature,"Beds (ES, TH, SH)"
AK-500,2007,78328.53312202964,1062.638009336293,284267.0,55.0,Anchorage CoC,974.0,842.0,132.0,696.0,278.0,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,5.5,884.0
AK-500,2008,78328.53312202964,1062.638009336293,284267.0,55.0,Anchorage CoC,1023.0,921.0,102.0,695.0,328.0,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,0.4,899.0
AK-500,2009,78328.53312202964,1062.638009336293,284267.0,55.0,Anchorage CoC,1267.0,1110.0,157.0,821.0,446.0,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,-0.2,877.0
AK-500,2010,78328.53312202964,1062.638009336293,284267.0,55.0,Anchorage CoC,1231.0,1113.0,118.0,740.0,491.0,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,1.5,990.0
AK-500,2011,80808.6997807857,1037.436469605762,287390.0,55.0,Anchorage CoC,1223.0,1082.0,141.0,794.0,429.0,8.504626715,7.073878313,42.29354659,42.84594772,7.593841008,7.0,1056.0
AK-500,2012,81121.05789275054,1075.357745222493,291470.0,55.0,Anchorage CoC,1147.0,1097.0,50.0,791.0,356.0,8.02785699,6.954797237,41.195061,44.03211418,7.478924743,-12.8,1001.0
AK-500,2013,82315.83431954667,1167.0494517963534,295237.0,55.0,Anchorage CoC,1122.0,1070.0,52.0,844.0,278.0,8.150461114,7.375905127,41.13714742,43.52197856,7.553461254,9.8,1015.0
AK-500,2014,83048.82802889548,1068.4081085794392,298178.0,55.0,Anchorage CoC,1023.0,970.0,53.0,736.0,287.0,8.837944424,7.921202996,39.72180585,43.34872674,7.143623369,18.4,988.0
AK-500,2015,83256.52855332707,1317.8854389900605,299107.0,55.0,Anchorage CoC,1208.0,1029.0,179.0,837.0,371.0,8.086369789,7.885971787,40.56539016,45.25954526,6.718333344,7.1,1019.0
AK-500,2016,86231.67073476301,1360.3188850765566,299321.0,55.0,Anchorage CoC,1105.0,865.0,240.0,905.0,200.0,8.044292404,8.396699272,40.7570042,45.70609077,6.087872481,17.2,1007.0
AK-500,2017,88499.56734009557,1377.384833598793,298225.0,55.0,Anchorage CoC,1128.0,973.0,155.0,848.0,280.0,8.016331615,8.576838624,40.89808539,44.80979553,5.806138975,4.5,1023.0
AK-500,2018,90126.78142054356,1430.49556924407,296112.0,55.0,Anchorage CoC,1094.0,1000.0,94.0,814.0,280.0,9.103777358,8.657760196,40.04408097,45.93230977,5.663429374,6.7,1028.0
AK-500,2019,91852.24423996104,1521.7191710585937,293531.0,55.0,Anchorage CoC,1111.0,1014.0,97.0,799.0,312.0,8.850362146,8.560813386,38.51188165,44.10506124,5.7331679,7.5,1033.0
AK-500,2020,90409.41075011127,1503.2365538019103,292090.0,61.0,Anchorage CoC,1058.0,1003.0,55.0,816.0,242.0,8.761293855,9.225160817,38.39907984,43.96608621,5.361122212,-6.4,920.0
AK-500,2021,95005.44033567484,1497.011912697192,292545.0,61.0,Anchorage CoC,1319.0,1167.0,152.0,1057.0,262.0,9.435698607,9.748154784,38.93426521,44.60672367,5.647398844,10.6,1274.0
AK-500,2022,101864.98593613465,1623.2505418441278,290674.0,61.0,Anchorage CoC,1494.0,1369.0,125.0,1176.0,318.0,9.754765238,10.3288242,37.44927366,45.01505039,5.191982782,2.6,2019.0
AK-500,2023,105593.78565671173,1632.7930874635467,289069.0,61.0,Anchorage CoC,1760.0,1425.0,335.0,1460.0,300.0,9.754765238,10.3288242,37.44927366,45.01505039,5.191982782,10.9,1188.0
AK-501,2007,64208.390446260215,954.7586549340036,397750.0,110.0,Alaska Balance of State CoC,668.0,545.0,123.0,366.0,302.0,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,5.5,874.0
AK-501,2008,64208.390446260215,954.7586549340036,397750.0,110.0,Alaska Balance of State CoC,623.0,531.0,92.0,372.0,251.0,10.00961368,21.70696019,32.94115149,36.2774805,9.11572291,0.4,798.0
